,GCA_001633485.1,GCA_001639645.1,GCA_001633355.1,GCA_001633675.1,GCA_001633575.1,GCA_001633495.1,GCA_001633505.1,GCA_001633405.1,GCA_001633545.1,GCA_001633335.1,GCA_001633415.1,GCA_001633325.1,GCA_001639485.1,GCA_001633595.1,GCA_001633565.1,GCA_001633665.1,GCA_001633605.1,GCA_001633645.1,GCA_001308305.1,GCA_000203855.3,GCA_001633435.1
Cluster_1047,LNKPBJJO_00234,PEOCBFCP_01393,GKBMFCDM_02238,GKMEBLJL_02218,HKAMFFJN_00173,JOBNEEKL_02687,GACBFOHJ_00501,LLFCPLKD_01870,FNJAKAKL_01267,ECBNDIDM_00177,LFPJLIBK_00396,IMJNKLBI_00177,EMNCPJML_00044,PLFJNGPA_00500,PGJOJFNN_00015,ODFDBHOD_00056,IAPKCFHA_00401,BDHOLPHL_00397,DELEFPOC_02763,AHNHBFNE_01614,HBJIBEPC_00237
Cluster_1048,LNKPBJJO_02564,PEOCBFCP_02693,GKBMFCDM_02659,GKMEBLJL_01496,HKAMFFJN_01495,JOBNEEKL_00375,GACBFOHJ_00746,LLFCPLKD_00946,FNJAKAKL_00461,ECBNDIDM_00797,LFPJLIBK_01037,IMJNKLBI_00785,EMNCPJML_02531,PLFJNGPA_00857,PGJOJFNN_01782,ODFDBHOD_01012,IAPKCFHA_00753,BDHOLPHL_01624,DELEFPOC_00780,AHNHBFNE_02726,HBJIBEPC_01163
Cluster_1050,,PEOCBFCP_01965,GKBMFCDM_01374,GKMEBLJL_00217,HKAMFFJN_01778,,GACBFOHJ_02132,LLFCPLKD_00300,FNJAKAKL_01873,ECBNDIDM_02252,LFPJLIBK_01835,IMJNKLBI_02312,EMNCPJML_00227,PLFJNGPA_02196,PGJOJFNN_01297,ODFDBHOD_02154,IAPKCFHA_02131,BDHOLPHL_01829,DELEFPOC_00441,AHNHBFNE_00145,HBJIBEPC_01850
Cluster_1051,,PEOCBFCP_01771,GKBMFCDM_01180,GKMEBLJL_00025,HKAMFFJN_02765,,GACBFOHJ_01920,,,ECBNDIDM_01553,LFPJLIBK_02049,IMJNKLBI_01547,EMNCPJML_01655,PLFJNGPA_01985,,,,BDHOLPHL_02021,DELEFPOC_00249,AHNHBFNE_03039,
Cluster_1052,,,,,,,,,,,,,,,,,,,,AHNHBFNE_01005,
Cluster_1053,,,,,,,,,,,,,EMNCPJML_02057,,,,,,,,
Cluster_1054,,PEOCBFCP_00731,GKBMFCDM_00729,,HKAMFFJN_03042,,,LLFCPLKD_02969,FNJAKAKL_00314,ECBNDIDM_03017,LFPJLIBK_00962,IMJNKLBI_00651,EMNCPJML_00675,,PGJOJFNN_00564,ODFDBHOD_03090,IAPKCFHA_01007,BDHOLPHL_00573,DELEFPOC_02202,AHNHBFNE_frag_01036_01037,
Cluster_1055,,,,,,,,,FNJAKAKL_02456,,,,,,,,,,,,
Cluster_1056,LNKPBJJO_01311,PEOCBFCP_00885,GKBMFCDM_00980,GKMEBLJL_01571,HKAMFFJN_00821,JOBNEEKL_00696,GACBFOHJ_02893,LLFCPLKD_03025,FNJAKAKL_01429,ECBNDIDM_00945,LFPJLIBK_00640,IMJNKLBI_00933,EMNCPJML_00833,PLFJNGPA_02887,PGJOJFNN_02579,ODFDBHOD_00583,IAPKCFHA_02683,BDHOLPHL_00839,DELEFPOC_01182,AHNHBFNE_00488,HBJIBEPC_02308
Cluster_1057,LNKPBJJO_00787,PEOCBFCP_02522,GKBMFCDM_02488,GKMEBLJL_02508,HKAMFFJN_00984,JOBNEEKL_02884,GACBFOHJ_01052,LLFCPLKD_01364,FNJAKAKL_00751,ECBNDIDM_02917,LFPJLIBK_02157,IMJNKLBI_02985,EMNCPJML_02073,PLFJNGPA_01128,PGJOJFNN_02041,ODFDBHOD_01410,IAPKCFHA_02046,BDHOLPHL_02215,DELEFPOC_02014,AHNHBFNE_02152,HBJIBEPC_02782
Cluster_1058,LNKPBJJO_00771,PEOCBFCP_02538,GKBMFCDM_02504,GKMEBLJL_02524,HKAMFFJN_02034,JOBNEEKL_02868,GACBFOHJ_01068,LLFCPLKD_01380,FNJAKAKL_00767,ECBNDIDM_01700,LFPJLIBK_02141,IMJNKLBI_01756,EMNCPJML_01858,PLFJNGPA_01144,PGJOJFNN_02025,ODFDBHOD_01426,IAPKCFHA_02063,BDHOLPHL_02231,DELEFPOC_02030,AHNHBFNE_02136,HBJIBEPC_02798
Cluster_1059,LNKPBJJO_01981,,,,,JOBNEEKL_00229,,,,,,,,,,,,,,,
Cluster_1060,,,,,,,,,,,,,,,,,IAPKCFHA_02762,,,AHNHBFNE_frag_02030_02031;AHNHBFNE_00573,HBJIBEPC_02896
Cluster_1061,,,,,HKAMFFJN_02328,,,,,,,,,,,,,,,,
Cluster_1062,,,,,,,,,,,,,EMNCPJML_00961,,,,,,,,
Cluster_1063,LNKPBJJO_01124,PEOCBFCP_01175,GKBMFCDM_00846,GKMEBLJL_00951,HKAMFFJN_00633,JOBNEEKL_01301,GACBFOHJ_02659,LLFCPLKD_02668,FNJAKAKL_00813,ECBNDIDM_03084,LFPJLIBK_01011,IMJNKLBI_03009,EMNCPJML_01462,PLFJNGPA_00707,PGJOJFNN_01212,ODFDBHOD_02630,IAPKCFHA_00915,BDHOLPHL_00739,DELEFPOC_02986,AHNHBFNE_01840,HBJIBEPC_00012
Cluster_1064,LNKPBJJO_02509,PEOCBFCP_02639,GKBMFCDM_02605,GKMEBLJL_01372,HKAMFFJN_00551,JOBNEEKL_00320,GACBFOHJ_00548,LLFCPLKD_03194,FNJAKAKL_00412,ECBNDIDM_01238,LFPJLIBK_02685,IMJNKLBI_01227,EMNCPJML_02482,PLFJNGPA_00547,PGJOJFNN_01854,ODFDBHOD_00752,IAPKCFHA_01454,BDHOLPHL_01570,DELEFPOC_00834,AHNHBFNE_02674,HBJIBEPC_01218
Cluster_1065,LNKPBJJO_01001,PEOCBFCP_02410,GKBMFCDM_02376,GKMEBLJL_02998,HKAMFFJN_01096,JOBNEEKL_01070,GACBFOHJ_00940,LLFCPLKD_01250,FNJAKAKL_03122,ECBNDIDM_02808,LFPJLIBK_02261,IMJNKLBI_02876,EMNCPJML_00457,PLFJNGPA_01016,PGJOJFNN_02800,ODFDBHOD_01296,IAPKCFHA_01941,BDHOLPHL_02111,DELEFPOC_01910,AHNHBFNE_02266,HBJIBEPC_02408
Cluster_1066,,,,GKMEBLJL_00783,HKAMFFJN_02064,,GACBFOHJ_01891,LLFCPLKD_02493,,ECBNDIDM_01518,LFPJLIBK_02351,IMJNKLBI_01512,EMNCPJML_00283,PLFJNGPA_01956,,ODFDBHOD_02450,IAPKCFHA_frag_01050_01051,BDHOLPHL_02639,DELEFPOC_00216,AHNHBFNE_03005,
Cluster_1067,,,,GKMEBLJL_02235,,,,LLFCPLKD_01855,FNJAKAKL_frag_01284_01285,ECBNDIDM_00162,LFPJLIBK_00412,IMJNKLBI_00162,,,PGJOJFNN_02960,ODFDBHOD_00041,IAPKCFHA_00418,BDHOLPHL_00414,DELEFPOC_02779,,HBJIBEPC_00220
Cluster_1068,LNKPBJJO_00288,PEOCBFCP_01340,GKBMFCDM_02185,GKMEBLJL_02279,HKAMFFJN_00120,JOBNEEKL_02633,GACBFOHJ_02496,LLFCPLKD_02506,FNJAKAKL_01329,ECBNDIDM_00119,LFPJLIBK_00456,IMJNKLBI_00119,EMNCPJML_00807,PLFJNGPA_02743,PGJOJFNN_02916,ODFDBHOD_02468,IAPKCFHA_00462,BDHOLPHL_00458,DELEFPOC_02823,AHNHBFNE_01668,HBJIBEPC_00175
Cluster_1069,LNKPBJJO_02076,PEOCBFCP_03040,GKBMFCDM_03007,GKMEBLJL_00460,HKAMFFJN_00790,JOBNEEKL_00856,GACBFOHJ_02837,LLFCPLKD_00038,FNJAKAKL_01083,ECBNDIDM_00729,LFPJLIBK_02960,IMJNKLBI_03188,EMNCPJML_01704,PLFJNGPA_02665,PGJOJFNN_00640,ODFDBHOD_01891,IAPKCFHA_00564,BDHOLPHL_00630,DELEFPOC_00704,AHNHBFNE_00431,HBJIBEPC_00909
Cluster_1070,LNKPBJJO_02071,PEOCBFCP_03045,GKBMFCDM_03012,GKMEBLJL_00465,HKAMFFJN_00795,JOBNEEKL_00861,GACBFOHJ_02832,LLFCPLKD_00043,FNJAKAKL_01088,ECBNDIDM_00724,LFPJLIBK_02965,IMJNKLBI_03183,EMNCPJML_01709,PLFJNGPA_02660,PGJOJFNN_00635,ODFDBHOD_01896,IAPKCFHA_00569,BDHOLPHL_00635,DELEFPOC_00699,AHNHBFNE_00426,HBJIBEPC_00914
Cluster_1071,LNKPBJJO_00770,PEOCBFCP_02539,GKBMFCDM_02505,GKMEBLJL_02525,HKAMFFJN_02035,JOBNEEKL_02867,GACBFOHJ_01069,LLFCPLKD_01381,FNJAKAKL_00768,ECBNDIDM_01701,LFPJLIBK_02140,IMJNKLBI_01757,EMNCPJML_01857,PLFJNGPA_01145,PGJOJFNN_02024,ODFDBHOD_01427,IAPKCFHA_02064,BDHOLPHL_02232,DELEFPOC_02031,AHNHBFNE_02135,HBJIBEPC_02799
Cluster_1072,LNKPBJJO_02348,PEOCBFCP_00456,GKBMFCDM_00489,GKMEBLJL_02592,HKAMFFJN_01477,JOBNEEKL_02582,GACBFOHJ_01135,LLFCPLKD_01511,FNJAKAKL_02316,ECBNDIDM_02490,LFPJLIBK_03092,IMJNKLBI_02549,EMNCPJML_01008,PLFJNGPA_01211,PGJOJFNN_01956,ODFDBHOD_01558,IAPKCFHA_02386,BDHOLPHL_02508,DELEFPOC_01703,AHNHBFNE_01990,HBJIBEPC_02604
Cluster_1073,LNKPBJJO_02320,PEOCBFCP_00428,GKBMFCDM_00517,GKMEBLJL_02620,HKAMFFJN_01449,JOBNEEKL_02554,GACBFOHJ_01163,LLFCPLKD_01539,FNJAKAKL_02288,ECBNDIDM_02518,LFPJLIBK_03120,IMJNKLBI_02521,EMNCPJML_01036,PLFJNGPA_01239,PGJOJFNN_01928,ODFDBHOD_01586,IAPKCFHA_02414,BDHOLPHL_02536,DELEFPOC_01731,AHNHBFNE_01962,HBJIBEPC_02576
Cluster_1074,LNKPBJJO_00818,PEOCBFCP_00594,GKBMFCDM_00592,GKMEBLJL_02869,HKAMFFJN_02158,JOBNEEKL_01156,GACBFOHJ_01781,LLFCPLKD_02400,FNJAKAKL_01930,ECBNDIDM_01429,LFPJLIBK_02452,IMJNKLBI_01423,EMNCPJML_02869,PLFJNGPA_01845,PGJOJFNN_03021,ODFDBHOD_02357,IAPKCFHA_02569,BDHOLPHL_02742,DELEFPOC_00113,AHNHBFNE_02892,HBJIBEPC_02739
Cluster_1075,,PEOCBFCP_02595,GKBMFCDM_02561,,HKAMFFJN_00419,,,LLFCPLKD_03239,,,LFPJLIBK_02640,,EMNCPJML_02419,,PGJOJFNN_01745,ODFDBHOD_00797,,,,,HBJIBEPC_01255
Cluster_1076,,PEOCBFCP_00686,GKBMFCDM_00684,,,,,,FNJAKAKL_00271,,,,,,,,,,,,
Cluster_1077,LNKPBJJO_02809,PEOCBFCP_01327,GKBMFCDM_02172,GKMEBLJL_01026,HKAMFFJN_00107,JOBNEEKL_02001,GACBFOHJ_02509,LLFCPLKD_02519,FNJAKAKL_01343,ECBNDIDM_00106,LFPJLIBK_00469,IMJNKLBI_00106,EMNCPJML_00791,PLFJNGPA_02756,PGJOJFNN_02903,ODFDBHOD_02481,IAPKCFHA_00475,BDHOLPHL_00471,DELEFPOC_02836,AHNHBFNE_01693,HBJIBEPC_00159
Cluster_1078,LNKPBJJO_02836,PEOCBFCP_01300,GKBMFCDM_02145,GKMEBLJL_01053,HKAMFFJN_00080,JOBNEEKL_02028,GACBFOHJ_02536,LLFCPLKD_02546,FNJAKAKL_01370,ECBNDIDM_00079,LFPJLIBK_00496,IMJNKLBI_00079,EMNCPJML_00763,PLFJNGPA_02783,PGJOJFNN_02875,ODFDBHOD_02508,IAPKCFHA_00502,BDHOLPHL_00498,DELEFPOC_02863,AHNHBFNE_01722,HBJIBEPC_00132
Cluster_1079,LNKPBJJO_00573,PEOCBFCP_02804,GKBMFCDM_02770,GKMEBLJL_01872,HKAMFFJN_02028,JOBNEEKL_00148,GACBFOHJ_01415,LLFCPLKD_01599,FNJAKAKL_00141,ECBNDIDM_01862,LFPJLIBK_01513,IMJNKLBI_01906,EMNCPJML_02272,PLFJNGPA_01480,PGJOJFNN_02301,ODFDBHOD_00544,IAPKCFHA_01779,BDHOLPHL_01159,DELEFPOC_01502,AHNHBFNE_00866,HBJIBEPC_02081
Cluster_1080,LNKPBJJO_00820,PEOCBFCP_00592,GKBMFCDM_00590,GKMEBLJL_02867,HKAMFFJN_02156,JOBNEEKL_01158,GACBFOHJ_01783,LLFCPLKD_02402,FNJAKAKL_01928,ECBNDIDM_01431,LFPJLIBK_02450,IMJNKLBI_01425,EMNCPJML_02867,PLFJNGPA_01847,PGJOJFNN_03023,ODFDBHOD_02359,IAPKCFHA_02567,BDHOLPHL_02740,DELEFPOC_00115,AHNHBFNE_02894,HBJIBEPC_02741
Cluster_1081,,PEOCBFCP_02591,GKBMFCDM_02557,GKMEBLJL_01322,HKAMFFJN_00415,,GACBFOHJ_00824,LLFCPLKD_03243,FNJAKAKL_00372,,LFPJLIBK_02636,,EMNCPJML_02415,PLFJNGPA_00903,PGJOJFNN_01749,ODFDBHOD_00801,IAPKCFHA_01404,BDHOLPHL_01520,DELEFPOC_00884,AHNHBFNE_02624,HBJIBEPC_01259
Cluster_1082,,,,,,,,,FNJAKAKL_01949,,,,,,,,,,,,
Cluster_1083,,,,GKMEBLJL_02232,,,,LLFCPLKD_01858,FNJAKAKL_01281,ECBNDIDM_00165,LFPJLIBK_00409,IMJNKLBI_00165,,,PGJOJFNN_00002,ODFDBHOD_00044,IAPKCFHA_00415,BDHOLPHL_00410,DELEFPOC_02776,,HBJIBEPC_00224
Cluster_1084,LNKPBJJO_00894,PEOCBFCP_03075,GKBMFCDM_03042,GKMEBLJL_00495,HKAMFFJN_00320,JOBNEEKL_01232,GACBFOHJ_02801,LLFCPLKD_00074,FNJAKAKL_01116,ECBNDIDM_00696,LFPJLIBK_02995,IMJNKLBI_03155,EMNCPJML_01740,PLFJNGPA_02629,PGJOJFNN_00606,ODFDBHOD_01927,IAPKCFHA_00599,BDHOLPHL_00703,DELEFPOC_00668,AHNHBFNE_00381,HBJIBEPC_00945
Cluster_1085,LNKPBJJO_02036,PEOCBFCP_01904,GKBMFCDM_01313,GKMEBLJL_00158,HKAMFFJN_01840,JOBNEEKL_00284,GACBFOHJ_02073,LLFCPLKD_00361,FNJAKAKL_01813,ECBNDIDM_02313,LFPJLIBK_01895,IMJNKLBI_02373,EMNCPJML_02727,PLFJNGPA_02137,PGJOJFNN_01363,ODFDBHOD_02245,IAPKCFHA_02870,BDHOLPHL_01888,DELEFPOC_00382,AHNHBFNE_00084,HBJIBEPC_01788
Cluster_1086,LNKPBJJO_00727,PEOCBFCP_01255,GKBMFCDM_02100,GKMEBLJL_00751,HKAMFFJN_00037,JOBNEEKL_02126,GACBFOHJ_02583,LLFCPLKD_02589,FNJAKAKL_00956,ECBNDIDM_03158,LFPJLIBK_00827,IMJNKLBI_03083,EMNCPJML_01603,PLFJNGPA_02830,PGJOJFNN_01101,ODFDBHOD_02551,IAPKCFHA_00654,BDHOLPHL_02993,DELEFPOC_02910,AHNHBFNE_01765,HBJIBEPC_00089
Cluster_1087,,,,,,,GACBFOHJ_02920,,FNJAKAKL_01449,ECBNDIDM_00967,,IMJNKLBI_00955,,PLFJNGPA_02914,,,,,,,
Cluster_1088,,PEOCBFCP_00703,GKBMFCDM_00701,,,,,,FNJAKAKL_00288,,,,,,,,,,,,
Cluster_1089,,,,,,,,,,,LFPJLIBK_01051,,,,,,,,,,
Cluster_1090,,,,,,,,,,,LFPJLIBK_01141,,,,,,,,,,
Cluster_1091,,,,,,,,,FNJAKAKL_01991,,,,,,,,,,,,
Cluster_1092,LNKPBJJO_02070,PEOCBFCP_03046,GKBMFCDM_03013,GKMEBLJL_00466,HKAMFFJN_00796,JOBNEEKL_00862,GACBFOHJ_02831,LLFCPLKD_00044,FNJAKAKL_01089,ECBNDIDM_00723,LFPJLIBK_02966,IMJNKLBI_03182,EMNCPJML_01710,PLFJNGPA_02659,PGJOJFNN_frag_00633_00634,ODFDBHOD_01897,IAPKCFHA_00570,BDHOLPHL_00636,DELEFPOC_00698,AHNHBFNE_00425,HBJIBEPC_00915
Cluster_1093,LNKPBJJO_01515,PEOCBFCP_00540,GKBMFCDM_00538,GKMEBLJL_00816,HKAMFFJN_02099,JOBNEEKL_01432,GACBFOHJ_01849,LLFCPLKD_02460,FNJAKAKL_01461,ECBNDIDM_01484,LFPJLIBK_02384,IMJNKLBI_01478,,PLFJNGPA_01914,PGJOJFNN_03062,ODFDBHOD_02417,IAPKCFHA_01084,BDHOLPHL_02672,DELEFPOC_00183,AHNHBFNE_02961,HBJIBEPC_01017
Cluster_1094,,,,,,,,,,,,,EMNCPJML_00325,,,,,,,,
Cluster_1095,LNKPBJJO_00197,PEOCBFCP_01429,GKBMFCDM_02274,GKMEBLJL_02182,HKAMFFJN_00208,JOBNEEKL_02724,GACBFOHJ_00465,LLFCPLKD_01905,FNJAKAKL_01231,ECBNDIDM_00212,LFPJLIBK_00361,IMJNKLBI_00212,EMNCPJML_00080,PLFJNGPA_00465,PGJOJFNN_00051,ODFDBHOD_00091,IAPKCFHA_00364,BDHOLPHL_00361,DELEFPOC_02727,AHNHBFNE_01579,HBJIBEPC_00273
Cluster_1096,LNKPBJJO_00842,,,,,JOBNEEKL_01180,,,,,,,,,,,,,,,
Cluster_1097,,,,,,,,,,ECBNDIDM_02125,,IMJNKLBI_02192,,,,,,,,,
Cluster_1098,,,,,,,,,FNJAKAKL_02489,,,,,,,,,,,,
Cluster_1099,LNKPBJJO_02288,PEOCBFCP_01676,GKBMFCDM_00750,GKMEBLJL_02651,HKAMFFJN_01862,JOBNEEKL_02522,GACBFOHJ_01188,LLFCPLKD_01571,FNJAKAKL_02263,ECBNDIDM_02543,LFPJLIBK_00712,IMJNKLBI_02496,EMNCPJML_01068,PLFJNGPA_01264,PGJOJFNN_01570,ODFDBHOD_01618,IAPKCFHA_02446,BDHOLPHL_02568,DELEFPOC_01763,AHNHBFNE_01937,HBJIBEPC_02551
Cluster_1100,LNKPBJJO_00742,PEOCBFCP_01240,GKBMFCDM_02085,GKMEBLJL_00736,HKAMFFJN_00022,JOBNEEKL_02141,GACBFOHJ_02599,LLFCPLKD_02604,FNJAKAKL_00941,ECBNDIDM_03143,LFPJLIBK_00812,IMJNKLBI_03068,EMNCPJML_01618,PLFJNGPA_02846,PGJOJFNN_01085,ODFDBHOD_02566,IAPKCFHA_00669,BDHOLPHL_02978,DELEFPOC_02925,AHNHBFNE_01780,HBJIBEPC_00074
Cluster_1101,,,,,,,,LLFCPLKD_03235,FNJAKAKL_00379,,,,EMNCPJML_02423,,,ODFDBHOD_00793,,,,,
Cluster_1102,,,,,,,,,,,,,,,PGJOJFNN_01711,,,,,,
Cluster_1103,LNKPBJJO_02722,PEOCBFCP_00254,GKBMFCDM_00252,GKMEBLJL_02428,HKAMFFJN_02399,JOBNEEKL_02373,GACBFOHJ_00156,LLFCPLKD_02202,FNJAKAKL_01496,ECBNDIDM_00515,LFPJLIBK_00056,IMJNKLBI_00514,EMNCPJML_01186,PLFJNGPA_00156,PGJOJFNN_00355,ODFDBHOD_00387,IAPKCFHA_00057,BDHOLPHL_00056,DELEFPOC_02423,AHNHBFNE_01277,HBJIBEPC_00573
Cluster_1104,,,,GKMEBLJL_02771,,,GACBFOHJ_03008,LLFCPLKD_03082,,,,,,PLFJNGPA_03002,,ODFDBHOD_00640,IAPKCFHA_02803,BDHOLPHL_00896,DELEFPOC_01239,,
Cluster_1105,LNKPBJJO_frag_02141_02142,PEOCBFCP_02282,GKBMFCDM_01935,GKMEBLJL_00882,HKAMFFJN_00438,JOBNEEKL_frag_00969_00970,GACBFOHJ_02244,LLFCPLKD_00523,FNJAKAKL_02882,ECBNDIDM_01188,LFPJLIBK_02771,IMJNKLBI_01177,EMNCPJML_00359,PLFJNGPA_02508,PGJOJFNN_01025,ODFDBHOD_00824,IAPKCFHA_01162,BDHOLPHL_01278,DELEFPOC_01126,AHNHBFNE_02388,HBJIBEPC_01485
Cluster_1106,LNKPBJJO_00423,PEOCBFCP_01857,GKBMFCDM_01266,GKMEBLJL_00111,HKAMFFJN_02852,JOBNEEKL_00791,GACBFOHJ_02028,LLFCPLKD_00418,FNJAKAKL_01764,ECBNDIDM_01640,LFPJLIBK_01942,IMJNKLBI_01634,EMNCPJML_02774,PLFJNGPA_02092,PGJOJFNN_01410,ODFDBHOD_03200,IAPKCFHA_02918,BDHOLPHL_01935,DELEFPOC_00335,AHNHBFNE_00036,HBJIBEPC_01739
Cluster_1107,LNKPBJJO_02284,PEOCBFCP_01672,GKBMFCDM_00754,GKMEBLJL_02655,HKAMFFJN_01858,JOBNEEKL_02518,GACBFOHJ_01192,LLFCPLKD_01575,FNJAKAKL_02259,ECBNDIDM_02547,LFPJLIBK_00716,IMJNKLBI_02492,EMNCPJML_01072,PLFJNGPA_01268,PGJOJFNN_01566,ODFDBHOD_01622,IAPKCFHA_02450,BDHOLPHL_02572,DELEFPOC_01767,AHNHBFNE_01933,HBJIBEPC_02547
Cluster_1108,LNKPBJJO_01497,PEOCBFCP_01541,GKBMFCDM_01514,GKMEBLJL_00795,,JOBNEEKL_01414,,,FNJAKAKL_01673,ECBNDIDM_01505,LFPJLIBK_02363,IMJNKLBI_01499,EMNCPJML_00295,,PGJOJFNN_01503,,IAPKCFHA_01063,BDHOLPHL_02651,DELEFPOC_00204,,HBJIBEPC_01659
Cluster_1109,LNKPBJJO_01409,PEOCBFCP_00856,GKBMFCDM_01447,GKMEBLJL_01520,HKAMFFJN_02513,JOBNEEKL_00561,GACBFOHJ_00020,LLFCPLKD_02834,FNJAKAKL_02973,ECBNDIDM_01078,LFPJLIBK_00569,IMJNKLBI_01066,EMNCPJML_02655,PLFJNGPA_00020,PGJOJFNN_00374,ODFDBHOD_02800,IAPKCFHA_00832,BDHOLPHL_02896,DELEFPOC_02301,AHNHBFNE_01141,HBJIBEPC_00682
Cluster_1110,LNKPBJJO_refound_1;LNKPBJJO_refound_2,PEOCBFCP_01523,GKBMFCDM_01496,GKMEBLJL_frag_00776_00777,,JOBNEEKL_refound_1,,LLFCPLKD_02288,,,LFPJLIBK_frag_02344_02345,,,,,ODFDBHOD_02461,IAPKCFHA_00704,BDHOLPHL_frag_02632_02633,DELEFPOC_frag_00222_00223;DELEFPOC_02962,AHNHBFNE_02537;AHNHBFNE_01818;AHNHBFNE_00903;AHNHBFNE_02759;AHNHBFNE_01225;AHNHBFNE_01089;AHNHBFNE_02197;AHNHBFNE_frag_01699_01700;AHNHBFNE_01292,
Cluster_1111,,,,,,,,LLFCPLKD_02481,,,,,,,,ODFDBHOD_02438,,,,,
Cluster_1112,LNKPBJJO_02438,PEOCBFCP_02205,GKBMFCDM_01858,GKMEBLJL_01157,HKAMFFJN_00516,JOBNEEKL_00488,GACBFOHJ_02311,LLFCPLKD_00586,FNJAKAKL_02815,ECBNDIDM_02660,LFPJLIBK_02848,IMJNKLBI_02727,EMNCPJML_00437,PLFJNGPA_02441,PGJOJFNN_00916,ODFDBHOD_00887,IAPKCFHA_01238,BDHOLPHL_01355,DELEFPOC_01049,AHNHBFNE_02457,HBJIBEPC_01419
Cluster_1113,LNKPBJJO_02920,,,,,JOBNEEKL_00015,,,,,,,,,,,,,,,
Cluster_1114,,,,,HKAMFFJN_02077,,GACBFOHJ_01879,,,,,,,PLFJNGPA_01944,,,,,,AHNHBFNE_02993,
Cluster_1115,,,,,,,,,,ECBNDIDM_01642,,IMJNKLBI_01636,,,,,,,,,
Cluster_1116,,,,,,,,,FNJAKAKL_01989,,,,,,,,,,,,
Cluster_1117,LNKPBJJO_01720,PEOCBFCP_02318,GKBMFCDM_01971,GKMEBLJL_00845,HKAMFFJN_01992,JOBNEEKL_00933,GACBFOHJ_00804,LLFCPLKD_01753,FNJAKAKL_02918,ECBNDIDM_01224,LFPJLIBK_02733,IMJNKLBI_01213,EMNCPJML_02390,PLFJNGPA_00883,PGJOJFNN_01061,ODFDBHOD_01793,IAPKCFHA_01126,BDHOLPHL_01242,DELEFPOC_01162,AHNHBFNE_02352,HBJIBEPC_01521
Cluster_1118,LNKPBJJO_02545,PEOCBFCP_02674,GKBMFCDM_02640,GKMEBLJL_01407,HKAMFFJN_00588,JOBNEEKL_00356,GACBFOHJ_00588,LLFCPLKD_03154,FNJAKAKL_00442,ECBNDIDM_00778,LFPJLIBK_02720,IMJNKLBI_00766,EMNCPJML_02512,PLFJNGPA_00587,PGJOJFNN_01589,ODFDBHOD_00712,IAPKCFHA_00734,BDHOLPHL_01605,DELEFPOC_00799,AHNHBFNE_02707,HBJIBEPC_01182
Cluster_1119,,,,,,,,,,,,,,,,,,BDHOLPHL_02381,DELEFPOC_02181,,
Cluster_1120,,PEOCBFCP_01576,GKBMFCDM_01612,,,,,,,,,,,,,,,,,,
Cluster_1121,,,,,,,,,,,,,,,PGJOJFNN_00551,,,,,,
Cluster_1122,,PEOCBFCP_01964,GKBMFCDM_01373,GKMEBLJL_00216,HKAMFFJN_01779,,GACBFOHJ_02131,LLFCPLKD_00301,FNJAKAKL_01872,ECBNDIDM_02253,LFPJLIBK_01836,IMJNKLBI_02313,EMNCPJML_00226,PLFJNGPA_02195,PGJOJFNN_01298,ODFDBHOD_02155,IAPKCFHA_02130,BDHOLPHL_01830,DELEFPOC_00440,AHNHBFNE_00144,HBJIBEPC_01849
Cluster_1123,,PEOCBFCP_01817,GKBMFCDM_01226,GKMEBLJL_00071,HKAMFFJN_02812,,GACBFOHJ_01966,LLFCPLKD_00479,,ECBNDIDM_01599,LFPJLIBK_02003,IMJNKLBI_01593,EMNCPJML_02813,PLFJNGPA_02031,,ODFDBHOD_03261,IAPKCFHA_02958,BDHOLPHL_01975,DELEFPOC_00295,AHNHBFNE_03085,HBJIBEPC_01699
Cluster_1124,,,,GKMEBLJL_00681,,,,LLFCPLKD_02941,,ECBNDIDM_02988,,IMJNKLBI_00680,,,,ODFDBHOD_03062,,BDHOLPHL_02355,DELEFPOC_02155,,
Cluster_1125,LNKPBJJO_00542,PEOCBFCP_02835,GKBMFCDM_02801,GKMEBLJL_01841,HKAMFFJN_01338,JOBNEEKL_00179,GACBFOHJ_01382,LLFCPLKD_00813,FNJAKAKL_00109,ECBNDIDM_01894,LFPJLIBK_01481,IMJNKLBI_01938,EMNCPJML_02241,PLFJNGPA_01447,PGJOJFNN_02270,ODFDBHOD_00512,IAPKCFHA_01748,BDHOLPHL_01128,DELEFPOC_01471,AHNHBFNE_00835,HBJIBEPC_02112
Cluster_1126,LNKPBJJO_02450,PEOCBFCP_02545,GKBMFCDM_02511,GKMEBLJL_01274,HKAMFFJN_00371,JOBNEEKL_02198,GACBFOHJ_02418,LLFCPLKD_00634,FNJAKAKL_01020,,LFPJLIBK_02592,,EMNCPJML_00632,PLFJNGPA_02334,PGJOJFNN_00819,ODFDBHOD_02888,IAPKCFHA_01356,BDHOLPHL_01474,DELEFPOC_00930,AHNHBFNE_02578,HBJIBEPC_01306
